12-18-2021 23:31:35 INFO: ================================================================================
12-18-2021 23:31:35 WARNING: Player 2 action in step 119 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 120 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 121 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 122 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 123 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 124 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 125 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 126 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 127 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 128 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 129 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 130 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 131 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 132 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 133 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 134 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 135 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 136 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 137 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 138 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 139 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 140 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 141 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 142 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 143 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 144 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 145 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 146 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 147 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 148 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 149 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 150 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 151 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 152 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 INFO: Calculating the winner...
12-18-2021 23:31:35 INFO: Winner is player 1. Policy: Other player is dead.
12-18-2021 23:31:35 INFO: Game log saved in: C:\Users\Farhan\Documents\GitHub\homa\Engine\Logic\../gameLog\game_log827759.json
12-18-2021 23:31:35 INFO: Agent log saved in: C:\Users\Farhan\Documents\GitHub\homa\Engine\Logic\../agentLog\1_858666.txt
12-18-2021 23:31:35 INFO: Agent log saved in: C:\Users\Farhan\Documents\GitHub\homa\Engine\Logic\../agentLog\2_889514.txt
